町丁名,年度,変化率(%),変化タイプ,変化の大きさ,前年人口,人口増減,原因
西阿弥陀寺町,2025,122.91666666666669,大幅増加,122.91666666666669,48.0,59.0,分譲マンション「アトラス熊本呉服町」竣工 & 分譲マンション「アトラス熊本呉服町」（2024年5月完成）入居 & 熊本地震で被災した旧棟の建替完了（後継棟の入居完了）による回復
春日２丁目,2014,116.4179104477612,激増,116.4179104477612,201.0,234.0,分譲マンション「グランドパレス熊本」竣工 & 分譲マンション「グランドパレス熊本」（2013年9-10月竣工）入居 & 熊本駅前東地区の再開発（森都心等）の入居進捗による増加
桜木６丁目,2015,109.75609756097562,大幅増加,109.75609756097562,41.0,45.0,賃貸テラスハウス「パールメゾン葉月」（2015年1月完成）など新規住宅供給の集中 & パールメゾン葉月 竣工 & 区画整理エリアでの戸建分譲・賃貸の供給が相次ぎ入居が進行
呉服町３丁目,2011,93.98496240601504,大幅増加,93.98496240601504,133.0,125.0,分譲マンション「エイルマンション熊本駅東II ゼクシオ」竣工 & 分譲マンション「エイルマンション熊本駅東IIゼクシオ」（2010年9月竣工）入居 & 中心部での小規模共同住宅の新設と入居進行
東子飼町,2000,86.79245283018868,激増,86.79245283018868,424.0,368.0,分譲マンション「コアマンションリヴィエール子飼」竣工 & 分譲マンション「コアマンションリヴィエール子飼」（1999年6月竣工）入居 & 熊本大学エリアで学生向けアパートの新築が集中
春日３丁目,2014,84.32601880877742,激増,84.32601880877742,319.00000000000006,269.0,熊本駅前の新築分譲「アルファステイツ熊本駅前」（2013年11月竣工）や（仮称）平田マンション（春日3丁目／2013年評価）等の入居進展 & 熊本駅西土地区画整理の進展で戻り入居・新築入居が進む
山ノ内１丁目,2007,75.86206896551724,激増,75.86206896551724,290.0,220.0,賃貸マンション「パークサイド山ノ内A・B」（2007年2月竣工）入居 & アパート「パークサイドA」（2007年2月）・「パークサイドB」（2007年2月）竣工・入居 & 宅地造成と戸建分譲の進行
米屋町１丁目,2008,70.98445595854922,大幅増加,70.98445595854922,193.0,137.0,分譲マンション「フローレンス五福グランドアーク」竣工 & 分譲マンション「フローレンス五福グランドアーク」（2007年9月竣工）入居 & 大規模分譲の入居進行（前年度竣工の新規供給の反映）
南熊本２丁目,2018,70.39106145251397,大幅増加,70.39106145251397,179.0,126.0,南熊本2丁目の12階建・41戸のマンション（2018年1月完成）入居 & 「ロザリアンプレイス南熊本」（2018年1月竣工・総41戸）入居 & 南熊本駅周辺の再整備と沿道商業の活性化に伴う共同住宅の供給
九品寺２丁目,2008,61.51142355008787,激増,61.51142355008787,569.0,350.0,分譲マンション「エイルマンション九品寺II グランデ」竣工 & 分譲マンション「エイルマンション九品寺IIグランデ」（2007年6月竣工）入居 & 大学・医療機関アクセス良好な立地で賃貸の供給・入居が進行
近見２丁目,2001,61.04868913857678,激増,61.04868913857678,800.9999999999999,489.0,賃貸マンション「エール近見」竣工 & 幹線道路の整備・商業集積の拡大で住宅需要が増加
水道町,2004,60.53268765133172,激増,60.53268765133172,413.0,250.0,分譲マンション「エイルマンショングランディール水道町」竣工 & 分譲マンション「エイルマンショングランディール水道町」（2003年10月竣工）入居 & 中心部の貸店舗付共同住宅やオフィスコンバージョンが進み入居増
田迎１丁目,2005,58.77437325905292,激増,58.77437325905292,359.0,211.0,分譲マンション「エバーライフ平成東」竣工 & 区画整理と東バイパス沿いの商業進出で宅地・賃貸の供給増
清水万石５丁目,2009,58.52713178294574,大幅増加,58.52713178294574,258.0,151.0,国道3号熊本北バイパスの段階開通で交通利便が向上し、県営団地近接エリアで入居が進行
清水万石５丁目,2007,56.00000000000001,大幅増加,56.00000000000001,125.0,70.0,熊本北バイパス沿道の開発進展と県営「北津留」団地周辺での世帯形成・転入増
段山本町,2023,55.98705501618123,大幅増加,55.98705501618123,309.0,173.0,分譲マンション「オーヴィジョン上熊本II」竣工 & 分譲マンション「オーヴィジョン上熊本II」（2022年12月竣工）入居 & 中心市街地の建替えと低未利用地の活用で居住が回復
九品寺６丁目,2006,55.88235294117647,激増,55.88235294117647,544.0,304.0,分譲マンション「コアマンションルネス九品寺」竣工 & 学生・単身者向け共同住宅の追加供給が進行
桜町,2020,55.11551155115512,大幅増加,55.11551155115512,303.0,167.0,分譲マンション「ザ・熊本ガーデンズ」（2019年9月竣工・総159戸）への入居進展 & 分譲マンション「ザ・熊本ガーデンズ」（2019年9月竣工）入居 & 桜町地区第一種市街地再開発（SAKURA MACHI Kumamoto開業・熊本桜町バスターミナル稼働）による都心回帰の加速
馬渡１丁目,2002,53.333333333333336,大幅増加,53.333333333333336,225.0,120.0,分譲マンション「エイルマンション平成ブラッサムアヴェニュー」竣工
出仲間９丁目,2014,52.093023255813954,大幅増加,52.093023255813954,215.0,112.0,分譲マンション「ポレスターはません通り」（2013年9月竣工）入居
大江３丁目,2016,51.855287569573285,激増,51.855287569573285,1078.0,559.0,分譲マンション「プレミスト大江ザ・レジデンス」「MJR大江」竣工 & 分譲マンション「MJR大江」（2015年竣工）と「プレミスト大江ザ・レジデンス」（2016年竣工）などの竣工・入居進行 & 熊本学園大学（大江2丁目）至近による学生需要の増加
小峯４丁目,2020,51.4018691588785,大幅増加,51.4018691588785,214.00000000000003,110.0,県道熊本高森線（空港線）4車線化事業の進展や東バイパス沿道の商業集積に伴い住宅供給が増加
出仲間５丁目,2007,49.795918367346935,激増,49.795918367346935,490.0,244.0,分譲マンション「エバーライフ平成南」（2006年4月竣工）と「リバティガーデン」（2007年3月竣工）の供給増
呉服町２丁目,2001,49.62406015037594,大幅増加,49.62406015037594,133.0,66.0,中心部でのマンション供給（ウッディマンション呉服町(1997)等）
千葉城町,2014,49.572649572649574,大幅増加,49.572649572649574,351.0,174.0,分譲マンション「アンピール熊本城Ⅱ」（2014年竣工）等の供給で居住人口が増加 & 分譲「アンピール熊本城II」竣工
九品寺６丁目,2001,49.44071588366891,激増,49.44071588366891,447.0,221.0,「パークマンション九品寺」（2000年3月竣工・73戸）などの影響で世帯増 & 分譲「パークマンション九品寺」竣工
出仲間８丁目,2003,47.82608695652174,大幅増加,47.82608695652174,345.0,165.0,分譲マンション「エイルヴィラグランシス平成南」（2002年11月竣工）入居 & 「ゆめタウンはません」開業の波及で商業集積が拡大し居住需要増 & 上記商業集積の波及で入居が進行 & 「ゆめタウンはません」開業効果（周辺の集合住宅・戸建て供給増）
佐土原３丁目,2013,47.651006711409394,大幅増加,47.651006711409394,149.0,71.0,南栄開発による宅地造成（2012年頃からの大規模分譲）で入居が進行 & 南栄開発などによる戸建て分譲が2010年代前半から順次進行
春日２丁目,2025,45.64564564564565,激増,45.64564564564565,666.0,304.0,超高層分譲「MJR熊本ザ・タワー」（2023年1月竣工・30階）など駅前居住の増加
米屋町１丁目,2009,44.84848484848485,大幅増加,44.84848484848485,330.0,148.0,分譲マンション「フローレンス五福グランドアーク」（2007年竣工・98戸）などの入居進行で世帯増 & 分譲「フローレンス五福グランドアーク」竣工
草葉町,2003,44.0,大幅増加,44.0,275.0,121.0,エイルヴィラ上通りサンアベニュー（2002年8月竣工）など新規分譲の入居開始で世帯流入 & 分譲「エイルヴィラ上通りサンアベニュー」供給 & 分譲マンション「エイルヴィラ上通りサンアベニュー」竣工（2002年・上通沿いの大型供給）
武蔵ケ丘９丁目,2007,43.641618497109825,大幅増加,43.641618497109825,346.0,151.0,「ファーストヴィラ武蔵ヶ丘ルネッサンス」（2006〜2007年頃竣工）などの共同住宅供給 & 分譲「ファーストヴィラ武蔵ヶ丘ルネッサンス」竣工 & 「ゆめタウン光の森」（2004開業）など広域商業集積の波及で住宅開発が進展 & 広域商業核「ゆめタウン光の森」（2004開業）と駅（光の森駅）整備の波及で住宅開発が進展 & 「ゆめタウン光の森」（2004年開業）とニュータウン進展による人口増 & 『ゆめタウン光の森』（2004開業）と光の森駅（2006開業）周辺の商業集積進行で居住需要が増加
船場町３丁目,2005,43.28358208955223,大幅増加,43.28358208955223,134.00000000000003,58.0,「フラワーマンション船場」（2002年11月竣工）など中心部の共同住宅供給が寄与 & 分譲「フラワーマンション船場」竣工の反映 & 分譲マンション「フラワーマンション船場」竣工（2002年・43戸）
出仲間９丁目,2006,41.9753086419753,大幅増加,41.9753086419753,162.00000000000003,68.0,分譲マンション「ライズ平成東参番館」（2005年2月竣工）など周辺の新規マンション供給
佐土原２丁目,2017,40.34653465346535,大幅増加,40.34653465346535,404.0,163.0,南栄開発の新規区画（2015年申請・67区画など）の入居が本格化 & 2015年前後の大規模区画（約60〜70区画）など分譲地の拡大
城東町,2005,40.09433962264151,大幅増加,40.09433962264151,212.0,85.0,熊本電気ビル（2004年完成）等の建替え波及で貸店舗付共同住宅の供給・入居進行
平田２丁目,2012,38.767395626242546,大幅増加,38.767395626242546,503.0,195.0,平成けやき通り沿いで集合住宅の新築が相次ぐ（S-FORT平成けやき通り 2011–2012入居開始 等） & 賃貸共同住宅「S-FORT平成けやき通り」（2007年竣工・総90戸）など集合住宅供給 & 『S-FORT平成けやき通り』（2007、全90戸）など中規模賃貸の稼働で世帯増（周辺の流通団地就業者流入）
近見８丁目,2002,37.80135004821601,激増,37.80135004821601,1037.0,392.0,近見８丁目周辺で集合住宅の新築が進む（例：ニュー・デパーチャー 1999年竣工 等）
春日１丁目,2012,37.640449438202246,激増,37.640449438202246,890.0000000000001,335.0,タワーマンション「ザ熊本タワー」（2012年3月竣工）入居 & 九州新幹線全線開業と「くまもと森都心」整備（2011年10月プレオープン／2012年グランドオープン）に伴う駅前再開発と居住誘導 & 九州新幹線全線開業（2011.3.12）＋駅前東A地区再開発「ザ・熊本タワー」（2012.3）完成による居住誘導 & 九州新幹線全線開業と駅前再開発（「くまもと森都心」公共施設棟プレオープン→2012年グランドオープン）に伴う駅前居住の回帰
小峯４丁目,2019,37.17948717948718,大幅増加,37.17948717948718,156.0,58.0,東部幹線の道路改良と近隣商業の活性化で戸建分譲・賃貸の入居が進行
孫代町,2015,37.04347826086957,激増,37.04347826086957,574.9999999999999,213.0,熊本駅周辺再整備の波及と南部第一土地区画整理の定着で住宅需要が高まり世帯が流入
上熊本１丁目,2021,36.74641148325359,激増,36.74641148325359,1045.0,384.0,分譲マンション「アトラス上熊本」（上熊本1-3-19、2020年竣工）の入居進行 & 連続立体交差事業による在来線高架化・駅前整備で交通利便性が向上 & 連続立体交差の進展（2015.3 上熊本駅舎開業、2018–2019 高架化完了）等の駅前整備で居住回復 & 鉄道高架化（連続立体交差）・駅前整備の進展で居住回帰 & 在来線高架化（連続立体交差）と駅前整備の進展で交通利便性が向上 & 上熊本駅の高架化・駅前広場整備の進展で利便性向上（鉄道事業の影響）
戸島町,2010,36.31713554987212,大幅増加,36.31713554987212,391.0,142.0,「戸島南台」など土地区画整理の宅地供給が進み、戸建分譲の入居が本格化
江津２丁目,2013,35.714285714285715,大幅増加,35.714285714285715,224.0,80.0,住居表示の実施・町界町名変更（政令市移行に伴う住所整理）により計上単位が変わり、当該町丁の一部が隣接町丁へ編入・分割された影響 & 住居表示（下江津・画図周辺の再編）に伴う区域再編
坪井６丁目,2000,34.93975903614458,激増,34.93975903614458,1162.0,406.0,「クレセール坪井」（2000年2月竣工）など共同住宅の新規供給で世帯が流入 & 分譲「クレセール坪井」竣工 & 住居表示（2000/2/28=第33次）で黒髪町大字坪井からの編入が進み世帯が集約（新旧町名対照）
佐土原３丁目,2015,34.385964912280706,大幅増加,34.385964912280706,285.0,98.0,上記分譲地の追加供給（2015年前後）と入居進行
出仲間３丁目,2003,33.114035087719294,大幅増加,33.114035087719294,456.00000000000006,151.0,2002〜2003年にアパート新築が集中（ロスカトゥールC 2002年3月、レオパレス太田弐番館 2003年4月） & 大型商業施設「ゆめタウンはません」新装開業（2003.10.23）に伴う周辺居住需要の増加 & 大型商業施設「ゆめタウンはません」新装開業（2003/10/23）による周辺人口流入 & 大型商業施設「ゆめタウンはません」新装開業（2003）で周辺居住需要が増加 & 大型SC「ゆめタウンはません」開業（2003年）に伴う居住流入 & 大型商業施設『ゆめタウンはません』（2003新装開業）周辺の再開発・集合住宅化
南熊本２丁目,2020,32.33532934131736,大幅増加,32.33532934131736,334.00000000000006,108.0,（仮称）南熊本2丁目マンション新築工事（2020年評価）完成・入居
清水万石５丁目,2008,32.30769230769231,大幅増加,32.30769230769231,195.00000000000003,63.0,北バイパスの整備効果が顕在化し、団地周辺での転入・住み替えが増加
月出１丁目,2008,31.5136476426799,激増,31.5136476426799,1209.0,381.0,分譲マンション「グランデュール月出」（2008年3月竣工）などの供給により居住者増 & 「エイルマンション帯山東」（2007年10月竣工）など月出エリアでの集合住宅供給増 & 熊本県立大学（月出3丁目）周辺での学生向け住宅供給の増加
小峯４丁目,2022,30.38277511961722,大幅増加,30.38277511961722,418.00000000000006,127.0,県道熊本高森線4車線化の供用拡大と周辺の住宅開発継続で入居が増加
元三町１丁目,2021,30.21276595744681,大幅増加,30.21276595744681,235.0,71.0,JR「西熊本駅」（2016開業）とイオンタウン西熊本の利便性向上で駅近居住が進行
大江６丁目,2010,29.069767441860467,激増,29.069767441860467,1032.0,300.0,大規模分譲「サーパスシティ大江イーストスクエア」竣工・入居開始
二本木５丁目,2006,28.650137741046834,激増,28.650137741046834,726.0,208.0,熊本駅周辺整備・新幹線関連工事の進展で駅近の共同住宅供給・住居転用が進み世帯増
新屋敷１丁目,2001,28.306878306878307,激増,28.306878306878307,756.0,214.0,学生向け賃貸「メイン新屋敷」完成など周辺の賃貸供給増
大江６丁目,2013,27.349228611500703,激増,27.349228611500703,1426.0,390.0,分譲「マークスシティザ大江」竣工に伴う入居増
上熊本３丁目,2020,25.16297262059974,激増,25.16297262059974,1534.0,386.0,上熊本駅周辺の連続立体交差事業完成で交通利便性が向上し住宅供給・入居が進行
新屋敷１丁目,2006,23.548387096774192,激増,23.548387096774192,1240.0,292.0,賃貸「エクシード新屋敷」竣工などの入居進捗
画図町大字重富,2007,23.470122390208783,激増,23.470122390208783,1389.0,326.0,画図地区「セイラタウン」土地区画整理による宅地分譲の進展
長嶺南４丁目,2014,21.7707701637356,激増,21.7707701637356,1649.0,359.0,分譲マンション「アイランド長嶺の杜」（2013–2014年ごろ竣工、約100戸超）の供給による流入
京町本丁,2015,20.689655172413794,激増,20.689655172413794,1015.0,210.0,上熊本駅の高架化・駅前広場整備により交通利便が向上し入居が加速
大江２丁目,2018,20.0,激増,20.0,1040.0,208.0,大規模分譲「MJRザ・ガーデン大江」（大江2丁目）完成・入居開始
神水本町,2000,19.69587255611875,激増,19.69587255611875,1381.0,272.0,分譲マンション「サーパス神水本町第2」竣工・入居開始
渡鹿６丁目,2006,18.84422110552764,激増,18.84422110552764,1193.9999999999998,225.0,東海大学熊本キャンパス最寄の「東海学園前駅」周辺で学生向け住宅が増加
世安町,1999,18.375499334221036,激増,18.375499334221036,2253.0000000000005,414.0,熊本日日新聞の本社機能が世安町へ全面移転（1999年7月）し周辺の街区整備・雇用集積が進展、加えて南部第一土地区画整理（換地処分1992年）後の住宅供給が進み居住増
大江２丁目,2019,16.185897435897438,激増,16.185897435897438,1248.0,202.0,大規模分譲「MJRザ・ガーデン大江」竣工（2018年12月）に伴う入居波及
近見８丁目,2004,15.39961013645224,激増,15.39961013645224,1539.0,237.0,住居表示（1998年に近見1〜9丁目新設）後の宅地分譲進行
九品寺５丁目,2019,15.127840909090908,激増,15.127840909090908,1408.0,213.0,学生向けレジデンス「EXLASIO九品寺」竣工・入居開始
水前寺公園,1999,14.598930481283425,激増,14.598930481283425,1870.0,273.0,「クレアドール水前寺公園」など分譲マンションの供給
本山町,2002,13.855799373040751,激増,13.855799373040751,1595.0,221.0,大規模分譲「サーパス平成第2」竣工（2001年11月）に伴う入居進行
坪井６丁目,2004,13.66646598434678,激増,13.66646598434678,1661.0,227.0,「アドバンス21参番館」などの分譲供給進行
徳王町,2005,13.527851458885944,激増,13.527851458885944,1508.0,204.0,最寄り駅が2004年に「崇城大学前駅」へ改称し学生向け賃貸が増加（大学近接効果）
東町３丁目,2018,13.465195891974137,激増,13.465195891974137,2629.0,354.0,東町団地での機能改善（空きスペース活用など）に伴う入居促進
長嶺南３丁目,2008,12.665489849955868,激増,12.665489849955868,2266.0,287.0,同上、分譲・入居が進み世帯数増
月出２丁目,2001,12.529002320185617,激増,12.529002320185617,1724.0,216.0,熊本県立大学（月出キャンパス）周辺で学生向け賃貸の新規供給増
大江３丁目,2017,12.522907758094073,激増,12.522907758094073,1637.0000000000002,205.0,熊本地震（2016）の住宅再建・建替え完了に伴う住民帰還と新規入居の進行
長嶺南３丁目,2006,12.278928751894895,激増,12.278928751894895,1979.0,243.0,同上、区画整理エリアでの戸建・共同住宅の新築が継続
神水本町,2018,11.74751607247224,激増,11.74751607247224,1711.0,201.0,県庁通り周辺の幹線道路整備・公共交通利便化の進展でオフィスから住居への転用や小規模共同住宅の供給が進行
水前寺公園,2010,10.278372591006423,激増,10.278372591006423,2335.0,240.0,「IS水前寺公園（現LIBTH水前寺公園）」竣工
長嶺東５丁目,2002,9.246417013407305,激増,9.246417013407305,2163.0,200.0,住居表示（平成9年2月24日）で「長嶺東」各丁目が新設され、あわせて長嶺東地区の土地利用転換計画に基づく宅地造成・分譲が本格化し入居が進行
帯山１丁目,2007,8.16546762589928,激増,8.16546762589928,2780.0,227.0,分譲「D’クラディア帯山」（帯山1丁目）などの入居進行
小山町,1999,4.84996510816469,激増,4.84996510816469,5732.0,278.0,県民総合運動公園（KKWING・パークドーム）整備稼働に伴う周辺の宅地分譲・賃貸供給の進展
東町４丁目,2007,-4.8177360903858455,激減,4.8177360903858455,4691.0,-226.0,同上（建替・入居調整の影響継続）
東町４丁目,2009,-4.829480430304418,激減,4.829480430304418,4368.999999999999,-211.0,同上（建替・入居調整の影響継続）
東町４丁目,2006,-4.905736874113116,激減,4.905736874113116,4933.0,-242.0,公営住宅（東町団地等）の建替・統廃合方針による一時的な戸数減（長寿命化計画に基づく集約）
東町４丁目,2014,-5.046895935685574,激減,5.046895935685574,4478.000000000001,-226.0,県営「新東町団地」（1987〜1988年建設）等の建替準備・住戸減耗による入居者減
東町４丁目,2020,-5.537720706260032,激減,5.537720706260032,3738.0,-207.0,同上、団地の戸数調整（老朽建物の活用縮小等）による世帯減
東町３丁目,2024,-7.402084081925979,激減,7.402084081925979,2783.0,-206.0,公営住宅の建替・用途廃止・入退去適正化（長寿命化計画）による戸数削減進行
東町３丁目,2015,-7.519046041735675,激減,7.519046041735675,3018.9999999999995,-227.0,県営「東町団地」（1968〜1972年建設）の老朽化に伴う建替・住み替え等で戸数調整・空室増
江津１丁目,2005,-15.835616438356166,激減,15.835616438356166,1825.0,-289.0,住居表示（第35次・2002）の街区設定に加え、2005年の「画図東一・二丁目」新設や江津湖公園の再整備に伴う町界整理で住宅用途が縮小
大江２丁目,2004,-16.852540272614622,激減,16.852540272614622,1614.0,-272.0,周辺の住居表示（第37次・2004〈中江町ほか〉）に伴う町界見直しや道路等の再編で世帯が隣接町丁へ再配置
清水本町,1999,-20.674079221681723,激減,20.674079221681723,2878.0,-595.0,住居表示の実施（兎谷一〜三丁目新設など）に伴う町界再編で周辺町へ編入・住所変更が進行
楠１丁目,2000,-21.983039791258967,激減,21.983039791258967,1533.0,-337.0,住居表示（第26次・1993「楠一丁目」設定）後、北バイパス整備の用地取得等が進み2000年前後に転出が顕在化
龍田町弓削,2000,-23.987690314220927,激減,23.987690314220927,6174.0,-1481.0,住居表示の実施（弓削一丁目などの新設）による分割・住所変更
西原３丁目,2015,-29.3007769145394,激減,29.3007769145394,901.0,-264.0,東バイパス（国道57号）西原交差点周辺の道路改良・立体化等に伴う用地取得・用途転換
楠２丁目,2014,-31.132075471698112,大幅減少,31.132075471698112,636.0,-198.0,楠団地建替え（第3～4期）に伴う旧棟解体・一時転出 & 市営楠団地の建替え・集約に伴う一時転出
東町１丁目,2024,-31.717171717171716,大幅減少,31.717171717171716,495.0,-157.0,熊本土木事務所跡地の解体・更地化と、市電『東町線』延伸に向けた用地確保・関連工事準備により居住用途が一時的に減少 & 熊本土木事務所（2016地震被災→解体）跡地の更地化・活用準備に伴う一時的減
春日３丁目,2009,-32.114882506527415,大幅減少,32.114882506527415,383.0,-123.0,熊本駅西土地区画整理事業の進行に伴う住宅の移転・除却 & 熊本駅西土地区画整理（春日3丁目ほか）に伴う仮換地・建物移転で一時的に人口減 & 熊本駅西土地区画整理の用地買収・仮換地で一時的な転出
土河原町,2010,-37.41058655221745,激減,37.41058655221745,1398.0,-523.0,熊本駅周辺の土地区画整理（新幹線高架化・駅前広場整備）に伴う移転・町界整理
八幡１丁目,2000,-39.7887323943662,大幅減少,39.7887323943662,284.0,-113.0,1995〜1998年の住居表示で八幡各丁目が順次新設（1998には十一丁目追加）され1丁目の区域が縮小
上通町,2006,-40.298507462686565,大幅減少,40.298507462686565,402.0,-162.0,中心市街地の再開発・商業化進行により住居の建替え・用途転換が進み居住世帯が減少
奥古閑町,2008,-50.73572689817539,激減,50.73572689817539,1699.0000000000002,-862.0,南区（奥古閑校区）の人口減少傾向と市街化調整区域が多い土地利用により戸建更新が鈍化・世帯減（周辺の区画整理や町界見直しの影響も重なった可能性）
清水亀井町,2006,-53.785798352295025,激減,53.785798352295025,2549.0,-1371.0,兎谷一〜三丁目（1999）や高平二・三丁目（1988）など周辺の住居表示実施で区域が段階的に分割・縮小
世安町,2022,-54.680412371134025,激減,54.680412371134025,2425.0,-1326.0,都市計画道路「春日2丁目世安町第1号線」等の整備に伴う用地取得・建物解体で転出が発生 & 都市計画道路「春日2丁目世安町第1号線」整備の用地確保・工事による一時転出 & 都市計画道路「春日2丁目世安町第1号線」整備に伴う立退き・除却 & 都市計画道路「春日2丁目世安町第1号線」の整備に伴う立退き・除却
春日３丁目,2010,-55.00000000000001,大幅減少,55.00000000000001,260.0,-143.0,熊本駅西土地区画整理事業の進行に伴う住宅の移転・除却 & 「熊本駅西土地区画整理事業」施行に伴う用地買収・仮移転 & 熊本駅西土地区画整理（工事進行期）の影響が継続し一時的な人口減 & 熊本駅西土地区画整理に伴う移転・除却で一時的に人口減 & 上記事業の建物除却・移転が継続
清水町大字打越,1999,-55.96666666666666,激減,55.96666666666666,3000.0,-1679.0,打越町の成立（1988）や周辺の住居表示進捗により旧大字からの分割・町名変更が進行
下硯川町,2011,-58.54309687261632,激減,58.54309687261632,2622.0000000000005,-1535.0,第44次住居表示（2011年2月28日）で下硯川一・二丁目が新設され、町域から住民が移管 & 住居表示（第44次）で下硯川一丁目新設に伴う再編 & 2011年2月28日の住居表示実施により「下硯川一丁目」新設・区域再編（町界再編） & 住居表示の実施で「下硯川一丁目」新設等の町名再編に伴う振替 & 住居表示の新設・再編で統計上のカウントが別町へ移動
沼山津４丁目,2006,-62.24561403508771,激減,62.24561403508771,1425.0,-887.0,東野四丁目への編入（1989）に続く道路事業（東バイパス6車線化など）の影響で沿道再編・住戸減
田迎町大字良町,2001,-78.57142857142857,大幅減少,78.57142857142857,210.0,-165.0,良町一〜五丁目の新設（2000/2/28）に伴う住居表示・町名変更で旧大字から分割移行
御幸笛田町,2001,-78.89908256880734,大幅減少,78.89908256880734,218.0,-172.0,出仲間・良町など周辺の住居表示（1991・1996・2000）と町界整理に伴う分割・住所変更
