町丁名,年度,事象タイプ,信頼度,タイトル,URL,公開日,ソース,スニペット,一致キーワード,時間差,地名一致度,人口変化率,変化タイプ
総数,2006,住宅,0.68,決算説明会資料 - 第4期（2018年6月期）,https://www.marimo-reit.co.jp/file/term-0a9781f2a98bf1e94ac46396fc0911f1fb0e6848.pdf,2018/08/17,その他,マリモ分譲マンション（建設中）. ザ・熊本ガーデンズ. MRRくまもと ... 熊本市人口総数及び世帯数の推移. Page 6. 6. □スーパーセンタートライアル ...,"マンション, 分譲, 建設",0,1.0,437.3239436619718,激増
楠３丁目,2000,その他,0.384,ゲストハウス横に展望バルコニーを増設 グランラセーレレガロ 6 ...,http://www.kumamoto-keizai.co.jp/content/asp/week/week.asp?PageID=3&Kkiji=9082&tpg=2000&Knum=7&pp=top&CntFlg=false,2007/06/12,自治体,... 完成予定. 購読申込 ... 熊本市楠3丁目、土井輝幸支配人）は、同地のゲストハウス北側に展望バルコニーの増設工事を行っている。完成予定は6月中旬。,,0,0.4,413.0952380952382,激増
楠３丁目,2000,住宅,0.504,熊本市市営住宅長寿命化計画の改定（素案）に関する ...,https://www.city.kumamoto.jp/kiji00356233/5_56233_403955_up_PNTCIGPB.pdf,,自治体,熊本市北区楠 3 丁目 4 番 4 号. 耐火. 6. 72. 1999. 楠. 5 棟. 熊本市北区楠 3 丁目 1 ... 発行：熊本市 都市建設局住宅部 住宅政策課. Page 102. 熊. 本. 市. 市 営 住 宅.,建設,0,0.4,413.0952380952382,激増
楠３丁目,2000,住宅,0.344,レクシアグランヒルズ楠中央通り（熊本県熊本市北区）の建物情報,https://www.chintai.net/kumamoto/bld-3017955/,,その他,レクシアグランヒルズ楠中央通りの建物情報です。所在地は熊本県熊本市北区楠3丁目、熊本電鉄バス（熊本市）/楡木小前が最寄り駅の物件です。賃貸マンション・賃貸アパート,マンション,0,0.4,413.0952380952382,激増
楠３丁目,2000,その他,0.384,学 校 一 覧,https://www.pref.kumamoto.jp/uploaded/attachment/119422.pdf,,自治体,〒861‑4115 熊本市南区川尻4丁目1‑70. 096‑357‑4634 096‑358‑4906 桐原 千代美. 5. 58. 3. 7. 熊 本 市 楠. 〒862‑8003 熊本市北区楠3丁目6‑1. 096‑338‑8230 096‑339‑4094 ...,,0,0.4,413.0952380952382,激増
楠３丁目,2000,その他,0.22399999999999998,全品税込価格となります。,https://foodyone.com/wp-content/uploads/2024/08/0809FOODYONE%E8%A1%A8B3_%E6%9C%80%E7%B5%8244.pdf,2024/08/13,その他,熊本市中央区新大江3丁目4-20. 営業時間 10:00 20:30. 【楠店】. TEL 096-338-1425. 熊本市北区楠3丁目10-30. 【御領店】. TEL 096-386-8600. 熊本市東区 ...,,0,0.4,413.0952380952382,激増
楠３丁目,2000,住宅,0.344,プライム・ガーデン2 の賃貸情報 - 熊本市北区,https://www.homes.co.jp/archive/b-41784529/,2025/07/16,その他,周辺 | ローソン 楠3丁目店まで750m. 編集する. 5 / 9枚. 5 / 9. 投稿 ... 熊本市北区の中古マンションを探す · 熊本駅周辺の中古マンションを探す ...,マンション,0,0.4,413.0952380952382,激増
楠３丁目,2000,住宅,0.544,武蔵塚駅から探す土地購入（宅地・分譲地・売地）情報 - 熊本県,https://suumo.jp/tochi/kumamoto/ek_77680/,,企業,ローソン熊本楠3丁目店まで560m. むさし内科クリニックまで640m. ※区画図. 土地 ... JA熊本市 竜田支店まで490m JA熊本市 竜田支店. □□□前面道路□□□. □□□外観 ...,"分譲, クリニック",0,0.4,413.0952380952382,激増
楠３丁目,2000,住宅,0.584,名古屋市中村区 城屋敷町(愛知県)の新築一戸建て（分譲住宅 ...,https://sumaiida.com/ikkodate/list/area/tokai/aichi/23105/?town_cd=23105051003,,その他,"名古屋市 中村区のおすすめの物件. リーブルガーデン北区楠第2. 3,880万円～3,980万円. 愛知県名古屋市 北区楠3丁目309-1 ... 熊本県(熊本市); 鹿児島県 · 大分県 · 宮崎県 ...","分譲, 戸建, 新築",0,0.4,413.0952380952382,激増
楠３丁目,2000,その他,0.384,子育て施設一覧_フォーマット,https://datacatalogportal.dlp-kumamoto.jp/ckan/dataset/852759a6-8072-4e06-97ed-471f3ddfef4f/resource/a609fe79-0c92-4c88-8e56-f477c353a3ca/download/21__430005_preschool.xlsx,,自治体,"合志市豊岡2000－699, 熊本県, 合志市, 32.867745, 130.76172, (096)248 ... 熊本市北区楠3丁目6-1, 熊本県, 熊本市, 32.848535, 130.756505, (096)338-8230, 熊本市 ...",,0,0.4,413.0952380952382,激増
楠３丁目,2000,交通,0.344,検索結果一覧｜物件検索,https://smtrc.jp/list/listViewLive/index?pageno=211&search=word&keyWord=,,その他,"5,500万円; 熊本県熊本市中央区上通町; 熊本市電健軍線 通町筋電停 徒歩4分熊本市電健軍線 水道町電停 徒歩7分. 専有面積, 63.29m2, 間取り, 2LDK+WIC.",IC,0,0.4,413.0952380952382,激増
紺屋町１丁目,2002,住宅,0.584,会社案内,https://kanekura.info/corporate-profile.html,,その他,アクセス. かねくら株式会社 本社. 熊本県熊本市紺屋町1丁目17番. 沿革. 1950年. 株式 ... 1999年. 自社ビル 自然素材エコマンション「ECO-WING21」着工（2001年竣工）.,"マンション, 竣工, 竣工",0,0.4,245.83333333333337,激増
紺屋町１丁目,2002,その他,0.22399999999999998,エコ・ウイング21 の賃貸情報 - 熊本市中央区,https://www.homes.co.jp/archive/b-29685663/,,その他,"エコ・ウイング21の写真一覧 ; 所在地, 熊本県熊本市中央区紺屋町1丁目17 ; 交通. 熊本市電A系統 / 河原町駅 バス0分 商工会議所下車 徒歩1分 ...",,0,0.4,245.83333333333337,激増
紺屋町１丁目,2002,住宅,0.344,ルフェール熊本通町(熊本市中央区)の賃貸の物件情報【 ...,https://www.apamanshop.com/sp/kumamoto/101/b52019801229705/,,その他,賃貸住宅や賃貸マンション、賃貸のことなら【アパマンショップ】アパートなど ... 熊本県熊本市中央区紺屋町1丁目 · 3.3～3.3万円. 14.87～14.87m². 1R～1R. 辛島町駅 ...,マンション,0,0.4,245.83333333333337,激増
紺屋町１丁目,2002,その他,0.22399999999999998,ハローワークインターネットサービス - 求人情報,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=4301019049951&kJKbn=1,,その他,随時 · 〒860-0025. 熊本県熊本市中央区紺屋町1丁目17番地 ECO－WING21 10階 「かねくら 株式会社 本社」. 地図表示. 最寄り駅. （熊本市電「河原町」電停 から 徒歩1分）駅.,,0,0.4,245.83333333333337,激増
紺屋町１丁目,2002,その他,0.384,0201（1）,https://www.city.kumamoto.jp/kiji00361732/3_61732_up_z04wwast.xlsx,,自治体,"... 熊本市、旧富合町合算分との比較、平成22年と同年4月から12月. 33, までの月別は ... 紺屋町1丁目, 33, 95, 45, 50, 33, 93, 44, 49, 清水亀井町, 1107, 2409, 1136, 1273 ...",,0,0.4,245.83333333333337,激増
紺屋町１丁目,2002,住宅,0.504,くまもと経済 - メールマガジンMail Magazine,https://secure.kumamoto-net.ne.jp/kumakei_ssl/content/asp/mag/mag_form.asp?PageID=42,,自治体,"市区郡町村 （例：熊本市中央区） 町域、番地 （例：紺屋町1丁目2番2号） 建物名、階 （例：○○ビル ）. 電話番号※. 業種※. 農業、林業, 漁業, 鉱業、採石業、砂利採取業, 建設業 ...",建設,0,0.4,245.83333333333337,激増
紺屋町１丁目,2002,住宅,0.344,サムティ慶徳レジデンスⅠ(熊本県熊本市中央区紺屋町1丁目) ...,https://www.eheya.net/library/detail/t00137272/,2024/01/10,その他,サムティ慶徳レジデンスⅠは、熊本県熊本市中央区紺屋町1丁目にある12階建の賃貸マンションです。熊本市電健軍線 河原町駅 徒歩4分の距離にあります ...,マンション,0,0.4,245.83333333333337,激増
紺屋町１丁目,2002,その他,0.22399999999999998,【不動産ジャパン】エリア検索結果一覧：熊本県熊本市中央区,https://www.fudousan.or.jp/property/agency/43/area/list?m_adr%5B%5D=43101&m_adr%5B%5D=43105&page=25,,その他,（有）ヒトミ・コーポレーション · 熊本県熊本市中央区紺屋町1丁目17 · 096-356-3920 ; （有）日比谷住宅 · 熊本県熊本市中央区八王寺町18－36－101 · 096-379-8976 ; （株）ヒマリホーム ...,,0,0.4,245.83333333333337,激増
紺屋町１丁目,2002,その他,0.22399999999999998,577 永江文書仮目録,https://kyureki.jp/wp-content/uploads/2025/05/577-%E6%B0%B8%E6%B1%9F%E6%96%87%E6%9B%B8%E7%9B%AE%E9%8C%B2%EF%BC%88HP%E7%94%A8%EF%BC%89.pdf,,その他,... 熊本市紺屋町1丁目(株)九州商業. 銀行 川野如無. 福岡県大牟田三池銀行 永江純一. 封筒. 1. 13-1～4を収める. A. 13. 1. 〔書簡〕. 〔明治35〕. 6. 4 川野. 永江純一. 照会 ...,,0,0.4,245.83333333333337,激増
紺屋町１丁目,2002,その他,0.22399999999999998,熊本県の株式会社 ワタナベ の求人25 件,https://jp.indeed.com/q-%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE-%E3%83%AF%E3%82%BF%E3%83%8A%E3%83%99-l-%E7%86%8A%E6%9C%AC%E7%9C%8C-%E6%B1%82%E4%BA%BA.html,3 日前,その他,... 紺屋町1丁目17番地 ECO－WING21 10階 「かねくら ... 熊本市 中央区 紺屋町. 月給 18万円 ~ 28万円. 交通費支給賞与あり昇給あり ...,,0,0.4,245.83333333333337,激増
